1, Al Gore, Al Gore on averting climate crisis, http://video.ted.com/talks/podcast/audio/AlGore_2006.mp3
2, Amy Smith, "Amy Smith shares simple, lifesaving design", http://video.ted.com/talks/podcast/audio/AmySmith_2006.mp3
3, Ashraf Ghani, Ashraf Ghani on rebuilding broken states, http://video.ted.com/talks/podcast/audio/AshrafGhani_2005G.mp3
4, Burt Rutan, Burt Rutan sees the future of space, http://video.ted.com/talks/podcast/audio/BurtRutan_2006.mp3
6, Craig Venter, Craig Venter on DNA and the sea, http://video.ted.com/talks/podcast/audio/CraigVenter_2005.mp3
7, David Pogue, David Pogue says "Simplicity sells", http://video.ted.com/talks/podcast/audio/DavidPogue_2006.mp3
9, Dean Kamen, Dean Kamen on inventing and giving, http://video.ted.com/talks/podcast/audio/DeanKamen_2002.mp3
10, Dean Ornish, Dean Ornish on the world's killer diet, http://video.ted.com/talks/podcast/audio/DeanOrnish_2006.mp3
11, Jane Goodall, Jane Goodall on what separates us from the apes, http://video.ted.com/talks/podcast/audio/JaneGoodall_2002.mp3
12, Eva Vertes, Eva Vertes looks to the future of medicine, http://video.ted.com/talks/podcast/audio/EvaVertes_2005.mp3
13, Frank Gehry, Frank Gehry asks "Then what?", http://video.ted.com/talks/podcast/audio/FrankGehry_2002.mp3
16, Helen Fisher, Helen Fisher tells us why we love + cheat, http://video.ted.com/talks/podcast/audio/HelenFisher_2006.mp3
18, Janine Benyus, Janine Benyus shares nature's designs, http://video.ted.com/talks/podcast/audio/JanineBenyus_2005.mp3
19, Kevin Kelly, Kevin Kelly on how technology evolves, http://video.ted.com/talks/podcast/audio/KevinKelly_2005.mp3
20, Malcolm Gladwell, Malcolm Gladwell on spaghetti sauce, http://video.ted.com/talks/podcast/audio/MalcolmGladwell_2004.mp3
21, Mena Trott, Mena Trott on blogs, http://video.ted.com/talks/podcast/audio/MenaTrott_2006.mp3
23, Peter Gabriel, Peter Gabriel fights injustice with video, http://video.ted.com/talks/podcast/audio/PeterGabriel_2006.mp3
25, Richard Baraniuk, Richard Baraniuk on open-source learning, http://video.ted.com/talks/podcast/audio/RichardBaraniuk_2006.mp3
26, Rives, Rives controls the Internet, http://video.ted.com/talks/podcast/audio/Rives_2006S.mp3
28, Seth Godin, Seth Godin on standing out, http://video.ted.com/talks/podcast/audio/SethGodin_2003.mp3
29, Steven Levitt, Steven Levitt analyzes crack economics, http://video.ted.com/talks/podcast/audio/StevenLevitt_2004.mp3
30, Steven Levitt, Steven Levitt on child carseats, http://video.ted.com/talks/podcast/audio/StevenLevitt_2005G.mp3
33, Thomas Barnett, Thomas Barnett draws a new map for peace, http://video.ted.com/talks/podcast/audio/ThomasBarnett_2005.mp3
34, Phil Borges, Phil Borges on endangered cultures, http://video.ted.com/talks/podcast/audio/PhilBorges_2006.mp3
35, James Watson, James Watson on how he discovered DNA, http://video.ted.com/talks/podcast/audio/JamesWatson_2005.mp3
37, Jimmy Wales, Jimmy Wales on the birth of Wikipedia, http://video.ted.com/talks/podcast/audio/JimmyWales_2005G.mp3
38, Ray Kurzweil, Ray Kurzweil on how technology will transform us, http://video.ted.com/talks/podcast/audio/RayKurzweil_2005.mp3
39, Aubrey de Grey, Aubrey de Grey says we can avoid aging, http://video.ted.com/talks/podcast/audio/AubreyDeGrey_2005G.mp3
41, Nicholas Negroponte, Nicholas Negroponte on One Laptop per Child, http://video.ted.com/talks/podcast/audio/NicholasNegroponte_2006.mp3
42, Martin Rees, Martin Rees asks: Is this our final century?, http://video.ted.com/talks/podcast/audio/MartinRees_2005G.mp3
43, Paul Bennett, Paul Bennett finds design in the details, http://video.ted.com/talks/podcast/audio/PaulBennett_2005.mp3
45, Sirena Huang, Sirena Huang dazzles on violin, http://video.ted.com/talks/podcast/audio/SirenaHuang_2006.mp3
46, Jennifer Lin, Jennifer Lin improvs piano magic, http://video.ted.com/talks/podcast/audio/JenniferLin_2004.mp3
47, David Deutsch, David Deutsch on our place in the cosmos, http://video.ted.com/talks/podcast/audio/DavidDeutsch_2005G.mp3
48, Saul Griffith, Saul Griffith on everyday inventions, http://video.ted.com/talks/podcast/audio/SaulGriffith_2006.mp3
53, Majora Carter, Majora Carter's tale of urban renewal, http://video.ted.com/talks/podcast/audio/MajoraCarter_2006.mp3
54, Cameron Sinclair, Cameron Sinclair on open-source architecture, http://video.ted.com/talks/podcast/audio/CameronSinclair_2006.mp3
55, Jehane Noujaim, Jehane Noujaim on a global day of film, http://video.ted.com/talks/podcast/audio/JehaneNoujaim_2006.mp3
56, Edward Burtynsky, Edward Burtynsky on manufactured landscapes, http://video.ted.com/talks/podcast/audio/EdwardBurtynsky_2005.mp3
57, Robert Fischell, Robert Fischell on medical inventing, http://video.ted.com/talks/podcast/audio/RobertFischell_2005.mp3
58, Larry Brilliant, Larry Brilliant wants to stop pandemics, http://video.ted.com/talks/podcast/audio/LarryBrilliant_2006.mp3
59, Bono, Bono's call to action for Africa, http://video.ted.com/talks/podcast/audio/Bono_2005.mp3
60, Anna Deavere Smith, Anna Deavere Smith's American character, http://video.ted.com/talks/podcast/audio/AnnaDeveareSmith_2005.mp3
61, Steven Johnson, Steven Johnson tours the Ghost Map, http://video.ted.com/talks/podcast/audio/StevenJohnson_2006S.mp3
